source_ip,city,region,country,asn,org,infra_type,asname,is_proxy,is_hosting,is_mobile,gn_noise,gn_riot,gn_classification,gn_name
132.226.202.45,Frankfurt am Main,Hesse,DE,AS31898,Oracle Corporation,datacenter/hosting,ORACLE-BMC-31898,False,True,False,,,,
139.135.127.35,Quezon City,National Capital Region,PH,AS138915,Kaopu Cloud HK Limited,datacenter/hosting,KAOPU-HK,False,True,False,,,,
139.162.165.123,Frankfurt am Main,Hesse,DE,AS63949,Akamai Connected Cloud,datacenter/hosting,AKAMAI-LINODE-AP,False,True,False,,,,
140.99.197.126,Marseille,Provence-Alpes-Côte d'Azur,FR,AS59711,HZ Hosting Ltd,datacenter VPS,HZ-EU-AS,False,True,False,,,,
141.98.84.138,Paris,Île-de-France,FR,AS41745,Baykov Ilya Sergeevich,datacenter/hosting,FORTIS-AS,True,False,False,,,,
142.147.128.97,Ashburn,Virginia,US,AS2914,"NTT America, Inc.",datacenter/hosting,NTT-DATA-2914,True,True,False,,,,
142.202.254.134,Valletta,Valletta,MT,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
144.34.184.77,Los Angeles,California,US,AS25820,IT7 Networks Inc,datacenter/hosting,IT7NET,True,True,False,,,,
146.103.40.12,Frankfurt am Main,Hesse,DE,AS215311,Regxa Company for Information Technology Ltd,datacenter VPS,REGXA-CLOUD,False,True,False,,,,
151.245.207.25,London,England,GB,AS2856,British Telecommunications Limited,residential/ISP,BT-UK-AS,False,False,False,,,,
152.232.100.239,Los Angeles,California,US,AS55286,B2 Net Solutions Inc.,datacenter/hosting,SERVER-MANIA,True,True,False,,,,
152.233.13.145,Amsterdam,North Holland,NL,AS60068,Datacamp Limited,datacenter/hosting,CDN77,True,True,False,,,,
154.12.141.113,Fort Worth,Texas,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,True,False,False,,,,
154.137.0.30,Giza,Giza,EG,AS37069,The Egyptian Company for Mobile Services (Mobinil),residential/mobile,MOBINIL,False,False,True,,,,
154.21.154.28,Fort Worth,Texas,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,True,False,False,,,,
155.254.34.219,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,True,True,False,,,,
156.235.89.46,Los Angeles,California,US,AS149440,Evoxt Sdn. Bhd.,,EVOXTSDNBHD-AS-AP,False,False,False,,,,
157.85.97.242,Bangkok,Bangkok,TH,AS56309,"Siamdata Communication Co.,Ltd.",,SIAMDATA-TH,False,False,False,,,,
161.132.48.30,Lima,Lima Province,PE,AS3132,Red Cientifica Peruana,,Red Cientifica Peruana,False,False,False,,,,
165.140.166.156,Los Angeles,California,US,AS153393,RACKVOLT CLOUD SOLUTIONS PRIVATE LIMITED,datacenter/hosting,RACKVOLT-AS-AP,False,True,False,,,,
172.121.139.119,Santa Clara,California,US,AS18779,EGIHosting,datacenter VPS,EGIHOSTING,True,True,False,,,,
172.56.14.182,Sacramento,California,US,AS21928,"T-Mobile USA, Inc.",residential/mobile,T-MOBILE-AS21928,False,False,True,,,,
172.56.198.175,Boston,Massachusetts,US,AS21928,"T-Mobile USA, Inc.",residential/mobile,T-MOBILE-AS21928,False,False,True,,,,
172.58.243.229,Baltimore,Maryland,US,AS21928,"T-Mobile USA, Inc.",residential/mobile,T-MOBILE-AS21928,False,False,True,,,,
173.211.69.215,Santa Monica,California,US,AS13332,Hype Enterprises,datacenter/hosting,HYPEENT-SJ,True,True,False,,,,
173.239.211.245,New York City,New York,US,AS206092,F.N.S. HOLDINGS LIMITED,datacenter/hosting,SECFIREWALLAS,True,True,False,,,,
173.249.11.41,Lauterbourg,Grand Est,FR,AS51167,Contabo GmbH,datacenter VPS,CONTABO,False,True,False,,,,
176.113.67.230,London,England,GB,AS205544,Leaseweb UK Limited,datacenter VPS,LEASEWEB-UK-LON-11,True,True,False,,,,
181.105.140.159,Necochea,Buenos Aires,AR,AS7303,Telecom Argentina S.A.,residential/ISP,Telecom Argentina S.A.,False,False,False,,,,
181.214.37.90,Lisbon,Lisbon,PT,AS212238,Datacamp Limited,datacenter/hosting,CDNEXT,True,True,False,,,,
181.214.6.149,Lisbon,Lisbon,PT,AS212238,Datacamp Limited,datacenter/hosting,CDNEXT,True,True,False,,,,
182.4.101.162,Yogyakarta,Yogyakarta,ID,AS23693,PT. Telekomunikasi Selular,residential/mobile,TELKOMSEL-ASN-ID,False,True,True,,,,
182.4.102.201,Yogyakarta,Yogyakarta,ID,AS23693,PT. Telekomunikasi Selular,residential/mobile,TELKOMSEL-ASN-ID,False,True,True,,,,
185.216.105.134,Orem,Utah,US,AS11798,"Ace Data Centers, Inc.",datacenter VPS,ACEDATACENTERS-DCH,False,True,False,,,,
185.48.52.13,Mexico City,Mexico City,MX,AS396356,Latitude.sh,datacenter/hosting,LATITUDE-SH,True,False,False,,,,
191.101.121.117,Zürich,Zurich,CH,AS264617,GRUPO PANAGLOBAL 15 S.A,datacenter/hosting,GRUPO PANAGLOBAL 15 S.A,True,True,False,,,,
191.101.36.64,Valencia,Valencia,ES,AS13287,NIXVAL Datacenter,datacenter VPS,NIXVAL,False,True,False,,,,
191.96.254.62,Seattle,Washington,US,AS396190,"Leaseweb USA, Inc.",datacenter VPS,LEASEWEB-USA-SEA,False,True,False,,,,
192.186.185.83,Los Angeles,California,US,AS55286,B2 Net Solutions Inc.,datacenter/hosting,SERVER-MANIA,True,True,False,,,,
192.210.132.27,Buffalo,New York,US,AS36352,HostPapa,datacenter/hosting,AS-COLOCROSSING,True,True,False,,,,
192.241.104.43,Los Angeles,California,US,AS55286,B2 Net Solutions Inc.,datacenter/hosting,SERVER-MANIA,True,True,False,,,,
192.241.94.126,Los Angeles,California,US,AS55286,B2 Net Solutions Inc.,datacenter/hosting,SERVER-MANIA,True,True,False,,,,
193.25.215.182,Los Angeles,California,US,AS397966,"ReadyDedis, LLC",datacenter/hosting,READYDEDISLLC,True,False,False,,,,
193.32.126.213,Paris,Île-de-France,FR,AS39351,31173 Services AB,datacenter/hosting,ESAB-AS,True,True,False,,,,
197.57.31.248,Cairo,Cairo,EG,AS8452,TE-AS,,TE-AS,False,False,False,,,,
198.105.110.56,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,False,True,False,,,,
198.44.58.206,Los Angeles,California,US,AS36352,HostPapa,datacenter/hosting,AS-COLOCROSSING,False,True,False,,,,
2.26.160.172,Prague,Prague,CZ,AS202051,NETGRID HOST LTD,datacenter/hosting,NETGRID-HOST-LT,False,True,False,,,,
202.179.188.22,Jakarta,Jakarta,ID,AS38750,"Telemedia Dinamika Sarana, PT",residential/ISP,TDS-AS-ID,False,False,False,,,,
203.150.113.244,Bangkok,Bangkok,TH,AS4618,Internet Thailand Company Limited,,INET-TH-AS,False,False,False,,,,
209.166.46.186,Washington,District of Columbia,US,AS39600,BUNNY TECHNOLOGY LLC,datacenter/hosting,BUNNY-COMMUNICATIONS-GLOBAL,True,False,False,,,,
212.108.83.112,London,England,GB,AS57043,HOSTKEY B.V.,datacenter/hosting,HOSTKEY-AS,False,True,False,,,,
213.169.228.69,Leesburg,Virginia,US,AS30058,FDCservers.net,datacenter VPS,FDCSERVERS,False,True,False,,,,
216.173.75.187,Paris,Île-de-France,FR,AS202044,"Getechbrothers, MB",datacenter/hosting,Getechbrothers-Internet,False,True,False,,,,
216.73.160.202,New York City,New York,US,AS206092,F.N.S. HOLDINGS LIMITED,datacenter/hosting,SECFIREWALLAS,True,False,False,,,,
216.74.114.166,Los Angeles,California,US,AS13332,Hype Enterprises,datacenter/hosting,HYPEENT-SJ,True,False,False,,,,
216.74.115.247,Los Angeles,California,US,AS13332,Hype Enterprises,datacenter/hosting,HYPEENT-SJ,False,True,False,,,,
218.51.123.96,Seoul,Seoul,KR,AS9318,SK Broadband Co Ltd,residential/ISP,SKB-AS,False,False,False,,,,
23.27.186.186,Los Angeles,California,US,AS149440,Evoxt Sdn. Bhd.,datacenter/hosting,EVOXTSDNBHD-AS-AP,False,True,False,,,,
23.27.196.84,Centreville,Virginia,US,AS40676,Psychz Networks,datacenter/hosting,AS40676,False,True,False,,,,
23.95.67.193,Santa Clara,California,US,AS36352,HostPapa,datacenter/hosting,AS-COLOCROSSING,False,True,False,,,,
31.10.146.45,Zürich,Zurich,CH,AS6730,Sunrise GmbH,,SUNRISE,False,False,False,,,,
31.56.138.192,Frankfurt am Main,Hesse,DE,AS28753,Leaseweb Deutschland GmbH,datacenter VPS,LEASEWEB-DE-FRA-10,True,False,False,,,,
31.57.41.3,Montréal,Quebec,CA,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
31.59.27.55,London,England,GB,AS205544,Leaseweb UK Limited,datacenter VPS,LEASEWEB-UK-LON-11,True,False,False,,,,
31.76.31.55,Helsinki,Uusimaa,FI,AS197283,PowerRDP Network LTD,,PowerRDP-Network-AS,False,False,False,,,,
34.173.24.24,Council Bluffs,Iowa,US,AS396982,Google LLC,cloud,GOOGLE-CLOUD-PLATFORM,False,True,False,,,,
35.237.97.174,North Charleston,South Carolina,US,AS396982,Google LLC,cloud,GOOGLE-CLOUD-PLATFORM,False,True,False,,,,
38.209.116.109,Los Angeles,California,US,AS174,"Cogent Communications, LLC",residential/ISP,COGENT-174,False,True,False,,,,
38.225.15.72,Stockholm,Stockholm,SE,AS49770,Internetport Sweden AB,datacenter/hosting,INTERNETPORT-AS,True,False,False,,,,
41.33.240.195,Sharm el-Sheikh,South Sinai,EG,AS8452,TE-AS,,TE-AS,False,False,False,,,,
45.127.248.186,Los Angeles,California,US,AS21769,Colocation America Corporation,datacenter VPS,AS-COLOAM,True,True,False,,,,
45.13.237.250,Frankfurt am Main,Hesse,DE,AS58087,Florian Kolb,datacenter/hosting,FlorianKolb,True,True,False,,,,
45.131.103.61,Riga,Riga,LV,AS43513,Sia Nano IT,datacenter/hosting,NANO-AS,True,True,False,,,,
45.131.95.132,Nicosia,Nicosia,CY,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
45.148.10.150,Amsterdam,North Holland,NL,AS48090,TECHOFF SRV LIMITED,datacenter/hosting,DMZHOST,False,True,False,,,,
45.150.177.155,Frankfurt am Main,Hesse,DE,AS204646,web2objects GmbH,datacenter/hosting,w2o-private-customer-asn,True,False,False,,,,
45.38.89.211,São Paulo,São Paulo,BR,AS262287,Latitude.sh LTDA,datacenter/hosting,Latitude.sh LTDA,False,True,False,,,,
45.39.5.133,Montréal,Quebec,CA,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
45.39.5.95,Montréal,Quebec,CA,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
45.43.70.99,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,True,True,False,,,,
45.43.83.84,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,True,True,False,,,,
45.56.115.32,Atlanta,Georgia,US,AS63949,Akamai Connected Cloud,datacenter/hosting,AKAMAI-LINODE-AP,False,True,False,,,,
45.61.100.168,Leesburg,Virginia,US,AS46516,HostRoyale LLC,datacenter/hosting,GLOBEIX,False,True,False,,,,
45.66.249.187,Los Angeles,California,US,AS62005,BlueVPS OU,datacenter VPS,BV-EU-AS,False,True,False,,,,
45.67.216.15,Lauterbourg,Grand Est,FR,AS51167,Contabo GmbH,datacenter VPS,CONTABO,False,True,False,,,,
45.67.3.40,Tirana,Tirana,AL,AS197706,Keminet SHPK,datacenter/hosting,Keminet,True,True,False,,,,
46.19.132.62,Chartres,Centre-Val de Loire,FR,AS39271,C'Chartres Innovations Numeriques SEM,,CMIN,False,False,False,,,,
46.202.78.247,Chicago,Illinois,US,AS27411,"Leaseweb USA, Inc.",datacenter VPS,LEASEWEB-USA-CHI,False,False,False,,,,
47.250.120.4,Kuala Lumpur,Kuala Lumpur,MY,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.250.144.128,Kuala Lumpur,Kuala Lumpur,MY,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.250.154.100,Kuala Lumpur,Kuala Lumpur,MY,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.250.170.165,Kuala Lumpur,Kuala Lumpur,MY,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.250.194.201,Kuala Lumpur,Kuala Lumpur,MY,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.254.235.251,Kuala Lumpur,Kuala Lumpur,MY,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.80.67.43,Manila,National Capital Region,PH,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
47.85.164.151,Virginia Beach,Virginia,US,AS45102,"Alibaba (US) Technology Co., Ltd.",datacenter/hosting,ALIBABA-CN-NET,False,True,False,,,,
5.255.117.250,Lelystad,Flevoland,NL,AS60404,Liteserver,datacenter VPS,Liteserver,True,True,False,,,,
51.83.143.35,Warsaw,Mazovia,PL,AS16276,OVH SAS,cloud,OVH,False,True,False,,,,
62.93.167.141,Montréal,Quebec,CA,AS212238,Datacamp Limited,datacenter/hosting,CDNEXT,True,False,False,,,,
63.135.161.8,New York City,New York,US,AS206092,F.N.S. HOLDINGS LIMITED,datacenter/hosting,SECFIREWALLAS,True,True,False,,,,
64.137.57.64,Saint-Denis,Île-de-France,FR,AS202044,"Getechbrothers, MB",datacenter/hosting,Getechbrothers-Internet,True,True,False,,,,
64.137.83.108,Milan,Lombardy,IT,AS212238,Datacamp Limited,datacenter/hosting,CDNEXT,True,True,False,,,,
64.51.234.158,Istanbul,Istanbul,TR,AS212238,Datacamp Limited,datacenter/hosting,GTT-BACKBONE,True,False,False,,,,
75.62.233.103,Lawton,Oklahoma,US,AS7018,"AT&T Enterprises, LLC",residential/mobile,ATT-INTERNET4,False,False,False,,,,
81.31.232.169,Los Angeles,California,US,AS401443,WAP.AC LLC,,RELIABLESITE,False,False,False,,,,
82.22.234.108,Frankfurt am Main,Hesse,DE,AS28753,Leaseweb Deutschland GmbH,datacenter VPS,LEASEWEB-DE-FRA-10,True,False,False,,,,
82.22.245.103,Johannesburg,Gauteng,ZA,AS37153,Xneelo (Pty) Ltd,datacenter/hosting,xneelo,True,False,False,,,,
82.22.249.134,Helsinki,Uusimaa,FI,AS51765,Oy Creanova Hosting Solutions Ltd.,datacenter VPS,CREANOVA-AS,True,True,False,,,,
82.24.212.241,New York City,New York,US,AS395092,Shock Hosting LLC,datacenter VPS,SHOCK-1,True,True,False,,,,
82.24.242.18,Ljubljana,Ljubljana,SI,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
82.25.213.200,Dublin,Leinster,IE,AS30900,Sternforth Ltd. trading as WebWorld,,WEBWORLD-AS,False,False,False,,,,
82.25.242.55,Ljubljana,Ljubljana,SI,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
82.27.233.49,Kyiv,Kyiv City,UA,AS30860,Virtual Systems LLC,datacenter/hosting,YURTEH-AS,True,False,False,,,,
82.29.233.116,Bratislava,Bratislava Region,SK,AS212238,Datacamp Limited,,CDNEXT,False,False,False,,,,
82.29.245.35,Johannesburg,Gauteng,ZA,AS37153,Xneelo (Pty) Ltd,datacenter/hosting,xneelo,True,False,False,,,,
84.247.60.99,Lisbon,Lisbon,PT,AS44144,HostRoyale Technologies Pvt Ltd,datacenter/hosting,OMEGASOFT,True,True,False,,,,
85.189.104.37,London,England,GB,AS3257,GTT Communications Inc.,residential/ISP,GTT-BACKBONE,False,False,False,,,,
86.53.111.121,Frankfurt am Main,Hesse,DE,AS3257,GTT Communications Inc.,residential/ISP,GTT-BACKBONE,False,False,False,,,,
87.237.15.238,Brussels,Brussels Capital,BE,AS8368,Dstny BE N.V.,,DSTNY-BACKBONE,False,False,False,,,,
88.150.154.27,Reading,England,GB,AS20860,IOMART CLOUD SERVICES LIMITED,datacenter/hosting,IOMART-AS,True,True,False,,,,
89.116.229.201,Manchester,England,GB,AS47583,Hostinger International Limited,datacenter VPS,AS-HOSTINGER,False,True,False,,,,
89.221.127.172,Riga,Riga,LV,AS24651,JSC BALTICOM,,LVBALTICOM-AS,False,False,False,,,,
92.112.91.82,Thessaloníki,Central Macedonia,GR,AS199081,Lancom Ltd.,,LANCOM,False,False,False,,,,
92.113.231.202,Singapore,Singapore,SG,AS396356,Latitude.sh,datacenter/hosting,LATITUDE-SH,True,False,False,,,,
92.157.20.178,La Motte-Servolex,Rhône-Alpes,FR,AS3215,Orange S.A.,,AS3215,False,False,False,,,,
93.152.221.171,Frankfurt am Main,Hesse,DE,AS197170,TechTies Inc.,datacenter/hosting,TECHTIES-AS,True,False,False,,,,
94.177.49.108,Milan,Lombardy,IT,AS64445,NetJoin srl,datacenter/hosting,AS-NETJOIN,True,False,False,,,,
99.63.197.17,Reston,Virginia,US,AS7018,"AT&T Enterprises, LLC",residential/mobile,ATT-INTERNET4,False,False,True,,,,
99.89.81.59,Lansing,Michigan,US,AS7018,"AT&T Enterprises, LLC",residential/mobile,ATT-INTERNET4,False,False,True,,,,
